1265310.CCBD010000081_gene5083,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,98.9
1265310.CCBD010000050_gene2008,CCBD010000050_gene2008,annotation&nbsp;not&nbsp;available,98.6
1265310.CCBD010000069_gene478,CCBD010000069_gene478,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000015_gene3595,CCBD010000015_gene3595,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000017_gene3895,CCBD010000017_gene3895,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;1,98.5
1265310.CCBD010000008_gene2756,rpmC,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000050_gene1902,CCBD010000050_gene1902,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000007_gene3010,CCBD010000007_gene3010,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000086_gene4656,CCBD010000086_gene4656,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000059_gene1311,CCBD010000059_gene1311,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000031_gene1732,CCBD010000031_gene1732,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000037_gene2375,CCBD010000037_gene2375,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000031_gene1687,CCBD010000031_gene1687,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000030_gene1635,CCBD010000030_gene1635,annotation&nbsp;not&nbsp;available,98.5
1265310.CCBD010000021_gene4180,CCBD010000021_gene4180,annotation&nbsp;not&nbsp;available,98.4
1265310.CCBD010000018_gene4134,CCBD010000018_gene4134,annotation&nbsp;not&nbsp;available,98.4
1265310.CCBD010000008_gene2730,CCBD010000008_gene2730,annotation&nbsp;not&nbsp;available,98.4
1265310.CCBD010000024_gene1853,CCBD010000024_gene1853,annotation&nbsp;not&nbsp;available,98.4
1265310.CCBD010000047_gene2555,CCBD010000047_gene2555,annotation&nbsp;not&nbsp;available,98.4
1265310.CCBD010000044_gene664,CCBD010000044_gene664,annotation&nbsp;not&nbsp;available,98.4
1265310.CCBD010000070_gene43,CCBD010000070_gene43,annotation&nbsp;not&nbsp;available,98.3
1265310.CCBD010000064_gene1114,CCBD010000064_gene1114,annotation&nbsp;not&nbsp;available,98.3
1265310.CCBD010000015_gene3718,CCBD010000015_gene3718,annotation&nbsp;not&nbsp;available,98.3
1265310.CCBD010000043_gene2213,cysN,Multifunctional&nbsp;fusion&nbsp;protein,98.3
1265310.CCBD010000096_gene4375,glyA,Serine&nbsp;hydroxymethyltransferase,98.3
1265310.CCBD010000047_gene2497,CCBD010000047_gene2497,annotation&nbsp;not&nbsp;available,98.3
1265310.CCBD010000079_gene5187,ispD,2-C-methyl-D-erythritol&nbsp;4-phosphate&nbsp;cytidylyltransferase,98.2
1265310.CCBD010000064_gene1002,CCBD010000064_gene1002,annotation&nbsp;not&nbsp;available,98.2
1265310.CCBD010000047_gene2514,glyQS,Glycine--tRNA&nbsp;ligase,98.2
1265310.CCBD010000073_gene302,CCBD010000073_gene302,Beta&nbsp;sliding&nbsp;clamp,98.1
1265310.CCBD010000019_gene4116,CCBD010000019_gene4116,annotation&nbsp;not&nbsp;available,98.1
1265310.CCBD010000044_gene702,CCBD010000044_gene702,annotation&nbsp;not&nbsp;available,98.1
1265310.CCBD010000010_gene3378,CCBD010000010_gene3378,annotation&nbsp;not&nbsp;available,98.1
1265310.CCBD010000024_gene1816,CCBD010000024_gene1816,annotation&nbsp;not&nbsp;available,98.1
1265310.CCBD010000075_gene5548,CCBD010000075_gene5548,annotation&nbsp;not&nbsp;available,98.1
1265310.CCBD010000015_gene3559,CCBD010000015_gene3559,annotation&nbsp;not&nbsp;available,98.0
1265310.CCBD010000008_gene2714,CCBD010000008_gene2714,annotation&nbsp;not&nbsp;available,98.0
1265310.CCBD010000064_gene1053,CCBD010000064_gene1053,annotation&nbsp;not&nbsp;available,98.0
1265310.CCBD010000070_gene245,CCBD010000070_gene245,annotation&nbsp;not&nbsp;available,98.0
1265310.CCBD010000086_gene4671,CCBD010000086_gene4671,annotation&nbsp;not&nbsp;available,97.9
1265310.CCBD010000086_gene4682,CCBD010000086_gene4682,annotation&nbsp;not&nbsp;available,97.9
1265310.CCBD010000020_gene4257,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,97.9
1265310.CCBD010000081_gene5035,CCBD010000081_gene5035,annotation&nbsp;not&nbsp;available,97.9
1265310.CCBD010000044_gene647,CCBD010000044_gene647,annotation&nbsp;not&nbsp;available,97.9
1265310.CCBD010000068_gene563,CCBD010000068_gene563,annotation&nbsp;not&nbsp;available,97.9
1265310.CCBD010000055_gene1436,CCBD010000055_gene1436,annotation&nbsp;not&nbsp;available,97.9
1265310.CCBD010000077_gene5277,CCBD010000077_gene5277,annotation&nbsp;not&nbsp;available,97.9
1265310.CCBD010000068_gene552,CCBD010000068_gene552,annotation&nbsp;not&nbsp;available,97.9
1265310.CCBD010000050_gene1903,CCBD010000050_gene1903,annotation&nbsp;not&nbsp;available,97.8
1265310.CCBD010000073_gene312,CCBD010000073_gene312,annotation&nbsp;not&nbsp;available,97.8
1265310.CCBD010000079_gene5146,ppa,Inorganic&nbsp;pyrophosphatase,97.7
1265310.CCBD010000039_gene2289,CCBD010000039_gene2289,annotation&nbsp;not&nbsp;available,97.7
1265310.CCBD010000014_gene3817,CCBD010000014_gene3817,annotation&nbsp;not&nbsp;available,97.7
1265310.CCBD010000007_gene3000,CCBD010000007_gene3000,annotation&nbsp;not&nbsp;available,97.7
1265310.CCBD010000011_gene3440,CCBD010000011_gene3440,annotation&nbsp;not&nbsp;available,97.7
1265310.CCBD010000018_gene4150,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,97.7
1265310.CCBD010000007_gene3130,CCBD010000007_gene3130,annotation&nbsp;not&nbsp;available,97.6
1265310.CCBD010000030_gene1621,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,97.6
1265310.CCBD010000044_gene723,CCBD010000044_gene723,annotation&nbsp;not&nbsp;available,97.6
1265310.CCBD010000015_gene3694,CCBD010000015_gene3694,annotation&nbsp;not&nbsp;available,97.5
1265310.CCBD010000048_gene357,CCBD010000048_gene357,annotation&nbsp;not&nbsp;available,97.5
1265310.CCBD010000007_gene2954,CCBD010000007_gene2954,annotation&nbsp;not&nbsp;available,97.5
1265310.CCBD010000044_gene712,CCBD010000044_gene712,annotation&nbsp;not&nbsp;available,97.5
1265310.CCBD010000008_gene2785,CCBD010000008_gene2785,annotation&nbsp;not&nbsp;available,97.5
1265310.CCBD010000070_gene192,CCBD010000070_gene192,annotation&nbsp;not&nbsp;available,97.5
1265310.CCBD010000069_gene401,CCBD010000069_gene401,annotation&nbsp;not&nbsp;available,97.5
1265310.CCBD010000061_gene1141,CCBD010000061_gene1141,annotation&nbsp;not&nbsp;available,97.5
1265310.CCBD010000086_gene4687,CCBD010000086_gene4687,annotation&nbsp;not&nbsp;available,97.4
1265310.CCBD010000007_gene2976,CCBD010000007_gene2976,annotation&nbsp;not&nbsp;available,97.4
1265310.CCBD010000091_gene4788,CCBD010000091_gene4788,annotation&nbsp;not&nbsp;available,97.3
1265310.CCBD010000044_gene620,thrB,Homoserine&nbsp;kinase,97.3
1265310.CCBD010000038_gene2348,CCBD010000038_gene2348,annotation&nbsp;not&nbsp;available,97.3
1265310.CCBD010000050_gene1995,CCBD010000050_gene1995,annotation&nbsp;not&nbsp;available,97.3
1265310.CCBD010000051_gene2112,CCBD010000051_gene2112,annotation&nbsp;not&nbsp;available,97.3
1265310.CCBD010000040_gene2244,CCBD010000040_gene2244,annotation&nbsp;not&nbsp;available,97.3
1265310.CCBD010000081_gene5115,CCBD010000081_gene5115,annotation&nbsp;not&nbsp;available,97.2
1265310.CCBD010000015_gene3485,CCBD010000015_gene3485,annotation&nbsp;not&nbsp;available,97.2
1265310.CCBD010000031_gene1742,CCBD010000031_gene1742,annotation&nbsp;not&nbsp;available,97.2
1265310.CCBD010000046_gene2432,CCBD010000046_gene2432,annotation&nbsp;not&nbsp;available,97.2
1265310.CCBD010000082_gene4947,CCBD010000082_gene4947,annotation&nbsp;not&nbsp;available,97.1
1265310.CCBD010000004_gene2651,CCBD010000004_gene2651,annotation&nbsp;not&nbsp;available,97.1
1265310.CCBD010000058_gene1359,CCBD010000058_gene1359,annotation&nbsp;not&nbsp;available,97.1
1265310.CCBD010000011_gene3426,CCBD010000011_gene3426,annotation&nbsp;not&nbsp;available,97.1
1265310.CCBD010000081_gene5064,CCBD010000081_gene5064,annotation&nbsp;not&nbsp;available,97.1
1265310.CCBD010000070_gene272,CCBD010000070_gene272,annotation&nbsp;not&nbsp;available,97.1
1265310.CCBD010000010_gene3403,add,annotation&nbsp;not&nbsp;available,97.1
1265310.CCBD010000031_gene1780,CCBD010000031_gene1780,annotation&nbsp;not&nbsp;available,97.0
1265310.CCBD010000050_gene1892,CCBD010000050_gene1892,Glutamate&nbsp;racemase,97.0
1265310.CCBD010000050_gene1884,CCBD010000050_gene1884,annotation&nbsp;not&nbsp;available,97.0
1265310.CCBD010000070_gene152,CCBD010000070_gene152,annotation&nbsp;not&nbsp;available,96.9
1265310.CCBD010000050_gene2039,CCBD010000050_gene2039,annotation&nbsp;not&nbsp;available,96.9
1265310.CCBD010000021_gene4226,CCBD010000021_gene4226,annotation&nbsp;not&nbsp;available,96.9
1265310.CCBD010000082_gene4959,CCBD010000082_gene4959,annotation&nbsp;not&nbsp;available,96.9
1265310.CCBD010000003_gene4814,CCBD010000003_gene4814,annotation&nbsp;not&nbsp;available,96.9
1265310.CCBD010000044_gene784,CCBD010000044_gene784,annotation&nbsp;not&nbsp;available,96.9
1265310.CCBD010000027_gene1541,CCBD010000027_gene1541,annotation&nbsp;not&nbsp;available,96.9
1265310.CCBD010000062_gene1216,CCBD010000062_gene1216,annotation&nbsp;not&nbsp;available,96.8
1265310.CCBD010000044_gene672,CCBD010000044_gene672,annotation&nbsp;not&nbsp;available,96.8
1265310.CCBD010000036_gene2396,pheS,annotation&nbsp;not&nbsp;available,96.7
1265310.CCBD010000024_gene1835,CCBD010000024_gene1835,annotation&nbsp;not&nbsp;available,96.7
1265310.CCBD010000079_gene5172,CCBD010000079_gene5172,annotation&nbsp;not&nbsp;available,96.7
1265310.CCBD010000002_gene4873,CCBD010000002_gene4873,annotation&nbsp;not&nbsp;available,96.7
1265310.CCBD010000069_gene490,CCBD010000069_gene490,annotation&nbsp;not&nbsp;available,96.7
1265310.CCBD010000015_gene3477,prfB,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;2,96.7
1265310.CCBD010000004_gene2680,CCBD010000004_gene2680,annotation&nbsp;not&nbsp;available,96.7
1265310.CCBD010000069_gene452,CCBD010000069_gene452,annotation&nbsp;not&nbsp;available,96.7
1265310.CCBD010000082_gene4938,CCBD010000082_gene4938,annotation&nbsp;not&nbsp;available,96.7
1265310.CCBD010000007_gene3035,CCBD010000007_gene3035,annotation&nbsp;not&nbsp;available,96.6
1265310.CCBD010000054_gene1489,CCBD010000054_gene1489,annotation&nbsp;not&nbsp;available,96.6
1265310.CCBD010000016_gene3942,CCBD010000016_gene3942,annotation&nbsp;not&nbsp;available,96.6
1265310.CCBD010000020_gene4256,CCBD010000020_gene4256,annotation&nbsp;not&nbsp;available,96.6
1265310.CCBD010000082_gene4996,CCBD010000082_gene4996,annotation&nbsp;not&nbsp;available,96.6
1265310.CCBD010000009_gene2882,CCBD010000009_gene2882,annotation&nbsp;not&nbsp;available,96.6
1265310.CCBD010000013_gene3340,CCBD010000013_gene3340,annotation&nbsp;not&nbsp;available,96.5
1265310.CCBD010000079_gene5259,CCBD010000079_gene5259,annotation&nbsp;not&nbsp;available,96.5
1265310.CCBD010000077_gene5400,CCBD010000077_gene5400,annotation&nbsp;not&nbsp;available,96.5
1265310.CCBD010000029_gene1560,CCBD010000029_gene1560,annotation&nbsp;not&nbsp;available,96.5
1265310.CCBD010000007_gene3261,recB,RecBCD&nbsp;enzyme&nbsp;subunit&nbsp;RecB,96.5
1265310.CCBD010000070_gene143,CCBD010000070_gene143,annotation&nbsp;not&nbsp;available,96.5
1265310.CCBD010000065_gene921,CCBD010000065_gene921,annotation&nbsp;not&nbsp;available,96.4
1265310.CCBD010000007_gene3104,CCBD010000007_gene3104,annotation&nbsp;not&nbsp;available,96.4
1265310.CCBD010000039_gene2254,CCBD010000039_gene2254,annotation&nbsp;not&nbsp;available,96.4
1265310.CCBD010000064_gene1122,CCBD010000064_gene1122,annotation&nbsp;not&nbsp;available,96.4
1265310.CCBD010000050_gene1942,CCBD010000050_gene1942,annotation&nbsp;not&nbsp;available,96.4
1265310.CCBD010000031_gene1768,CCBD010000031_gene1768,annotation&nbsp;not&nbsp;available,96.4
1265310.CCBD010000054_gene1517,CCBD010000054_gene1517,annotation&nbsp;not&nbsp;available,96.4
1265310.CCBD010000063_gene1187,CCBD010000063_gene1187,annotation&nbsp;not&nbsp;available,96.3
1265310.CCBD010000038_gene2338,CCBD010000038_gene2338,annotation&nbsp;not&nbsp;available,96.3
1265310.CCBD010000031_gene1675,CCBD010000031_gene1675,annotation&nbsp;not&nbsp;available,96.3
1265310.CCBD010000019_gene3987,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,96.3
1265310.CCBD010000088_gene4480,CCBD010000088_gene4480,annotation&nbsp;not&nbsp;available,96.3
1265310.CCBD010000007_gene3244,CCBD010000007_gene3244,annotation&nbsp;not&nbsp;available,96.3
1265310.CCBD010000086_gene4613,CCBD010000086_gene4613,annotation&nbsp;not&nbsp;available,96.2
1265310.CCBD010000027_gene1533,CCBD010000027_gene1533,annotation&nbsp;not&nbsp;available,96.2
1265310.CCBD010000070_gene76,CCBD010000070_gene76,annotation&nbsp;not&nbsp;available,96.2
1265310.CCBD010000007_gene2946,CCBD010000007_gene2946,annotation&nbsp;not&nbsp;available,96.2
1265310.CCBD010000068_gene560,CCBD010000068_gene560,annotation&nbsp;not&nbsp;available,96.2
1265310.CCBD010000069_gene445,CCBD010000069_gene445,annotation&nbsp;not&nbsp;available,96.1
1265310.CCBD010000044_gene630,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,96.1
1265310.CCBD010000065_gene939,CCBD010000065_gene939,annotation&nbsp;not&nbsp;available,96.1
1265310.CCBD010000062_gene1236,CCBD010000062_gene1236,annotation&nbsp;not&nbsp;available,96.1
1265310.CCBD010000030_gene1645,uvrC,UvrABC&nbsp;system&nbsp;protein&nbsp;C,96.0
1265310.CCBD010000064_gene1115,CCBD010000064_gene1115,annotation&nbsp;not&nbsp;available,96.0
1265310.CCBD010000064_gene992,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,96.0
1265310.CCBD010000046_gene2435,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,96.0
1265310.CCBD010000055_gene1409,CCBD010000055_gene1409,annotation&nbsp;not&nbsp;available,96.0
1265310.CCBD010000087_gene4554,CCBD010000087_gene4554,Phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein,96.0
1265310.CCBD010000016_gene3965,CCBD010000016_gene3965,annotation&nbsp;not&nbsp;available,95.9
1265310.CCBD010000043_gene2186,CCBD010000043_gene2186,annotation&nbsp;not&nbsp;available,95.9
1265310.CCBD010000044_gene683,CCBD010000044_gene683,annotation&nbsp;not&nbsp;available,95.9
1265310.CCBD010000065_gene935,CCBD010000065_gene935,annotation&nbsp;not&nbsp;available,95.9
1265310.CCBD010000015_gene3539,CCBD010000015_gene3539,annotation&nbsp;not&nbsp;available,95.9
1265310.CCBD010000056_gene1277,CCBD010000056_gene1277,annotation&nbsp;not&nbsp;available,95.9
1265310.CCBD010000030_gene1583,aroK,Shikimate&nbsp;kinase,95.9
1265310.CCBD010000014_gene3780,CCBD010000014_gene3780,Ribosome&nbsp;small&nbsp;subunit-dependent&nbsp;GTPase&nbsp;A,95.9
1265310.CCBD010000075_gene5586,CCBD010000075_gene5586,annotation&nbsp;not&nbsp;available,95.8
1265310.CCBD010000015_gene3577,CCBD010000015_gene3577,annotation&nbsp;not&nbsp;available,95.8
1265310.CCBD010000019_gene4016,CCBD010000019_gene4016,Pyruvate&nbsp;carboxylase,95.8
1265310.CCBD010000048_gene377,CCBD010000048_gene377,annotation&nbsp;not&nbsp;available,95.8
1265310.CCBD010000034_gene2089,CCBD010000034_gene2089,annotation&nbsp;not&nbsp;available,95.8
1265310.CCBD010000008_gene2859,groS,10&nbsp;kDa&nbsp;chaperonin,95.8
1265310.CCBD010000015_gene3476,CCBD010000015_gene3476,annotation&nbsp;not&nbsp;available,95.8
1265310.CCBD010000081_gene5052,CCBD010000081_gene5052,annotation&nbsp;not&nbsp;available,95.8
1265310.CCBD010000047_gene2533,CCBD010000047_gene2533,annotation&nbsp;not&nbsp;available,95.8
1265310.CCBD010000079_gene5195,CCBD010000079_gene5195,annotation&nbsp;not&nbsp;available,95.8
1265310.CCBD010000082_gene4991,CCBD010000082_gene4991,annotation&nbsp;not&nbsp;available,95.7
1265310.CCBD010000057_gene1257,CCBD010000057_gene1257,annotation&nbsp;not&nbsp;available,95.7
1265310.CCBD010000070_gene21,CCBD010000070_gene21,annotation&nbsp;not&nbsp;available,95.7
1265310.CCBD010000038_gene2357,CCBD010000038_gene2357,NAD-dependent&nbsp;protein&nbsp;deacylase,95.7
1265310.CCBD010000043_gene2223,CCBD010000043_gene2223,annotation&nbsp;not&nbsp;available,95.7
1265310.CCBD010000007_gene2951,CCBD010000007_gene2951,Chaperone&nbsp;protein&nbsp;DnaJ,95.7
1265310.CCBD010000061_gene1164,CCBD010000061_gene1164,annotation&nbsp;not&nbsp;available,95.7
1265310.CCBD010000077_gene5344,CCBD010000077_gene5344,annotation&nbsp;not&nbsp;available,95.7
1265310.CCBD010000082_gene4994,CCBD010000082_gene4994,annotation&nbsp;not&nbsp;available,95.7
1265310.CCBD010000063_gene1185,CCBD010000063_gene1185,annotation&nbsp;not&nbsp;available,95.7
1265310.CCBD010000044_gene715,CCBD010000044_gene715,annotation&nbsp;not&nbsp;available,95.6
1265310.CCBD010000010_gene3367,folD,Bifunctional&nbsp;protein&nbsp;FolD,95.6
1265310.CCBD010000003_gene4846,CCBD010000003_gene4846,annotation&nbsp;not&nbsp;available,95.6
1265310.CCBD010000045_gene869,CCBD010000045_gene869,annotation&nbsp;not&nbsp;available,95.5
1265310.CCBD010000047_gene2477,CCBD010000047_gene2477,annotation&nbsp;not&nbsp;available,95.5
1265310.CCBD010000086_gene4661,CCBD010000086_gene4661,annotation&nbsp;not&nbsp;available,95.5
1265310.CCBD010000016_gene3951,CCBD010000016_gene3951,DNA&nbsp;polymerase&nbsp;IV,95.5
1265310.CCBD010000047_gene2545,CCBD010000047_gene2545,annotation&nbsp;not&nbsp;available,95.5
1265310.CCBD010000019_gene4115,CCBD010000019_gene4115,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000007_gene2955,clpB,Chaperone&nbsp;protein&nbsp;ClpB,95.4
1265310.CCBD010000016_gene3962,CCBD010000016_gene3962,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000017_gene3931,CCBD010000017_gene3931,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000046_gene2428,CCBD010000046_gene2428,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000033_gene1792,CCBD010000033_gene1792,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000019_gene4045,CCBD010000019_gene4045,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000047_gene2534,CCBD010000047_gene2534,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000015_gene3566,CCBD010000015_gene3566,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000043_gene2202,CCBD010000043_gene2202,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000044_gene777,CCBD010000044_gene777,annotation&nbsp;not&nbsp;available,95.4
1265310.CCBD010000010_gene3399,CCBD010000010_gene3399,annotation&nbsp;not&nbsp;available,95.3
1265310.CCBD010000075_gene5530,CCBD010000075_gene5530,annotation&nbsp;not&nbsp;available,95.3
1265310.CCBD010000005_gene2689,CCBD010000005_gene2689,annotation&nbsp;not&nbsp;available,95.3
1265310.CCBD010000014_gene3822,CCBD010000014_gene3822,annotation&nbsp;not&nbsp;available,95.2
1265310.CCBD010000031_gene1710,hemH,Ferrochelatase,95.2
1265310.CCBD010000081_gene5046,CCBD010000081_gene5046,annotation&nbsp;not&nbsp;available,95.2
1265310.CCBD010000044_gene624,prfA,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;1,95.1
1265310.CCBD010000050_gene2007,CCBD010000050_gene2007,annotation&nbsp;not&nbsp;available,95.1
1265310.CCBD010000017_gene3913,fni,Isopentenyl-diphosphate&nbsp;delta-isomerase,95.1
1265310.CCBD010000077_gene5419,CCBD010000077_gene5419,annotation&nbsp;not&nbsp;available,95.1
1265310.CCBD010000092_gene4781,CCBD010000092_gene4781,annotation&nbsp;not&nbsp;available,95.1
1265310.CCBD010000007_gene3144,CCBD010000007_gene3144,annotation&nbsp;not&nbsp;available,95.1
1265310.CCBD010000050_gene2054,CCBD010000050_gene2054,annotation&nbsp;not&nbsp;available,95.1
1265310.CCBD010000005_gene2686,CCBD010000005_gene2686,annotation&nbsp;not&nbsp;available,95.0
1265310.CCBD010000031_gene1785,CCBD010000031_gene1785,annotation&nbsp;not&nbsp;available,95.0
1265310.CCBD010000013_gene3319,CCBD010000013_gene3319,dTDP-4-dehydrorhamnose&nbsp;reductase,95.0
1265310.CCBD010000007_gene2952,CCBD010000007_gene2952,annotation&nbsp;not&nbsp;available,95.0
1265310.CCBD010000070_gene233,CCBD010000070_gene233,annotation&nbsp;not&nbsp;available,95.0
1265310.CCBD010000070_gene222,CCBD010000070_gene222,annotation&nbsp;not&nbsp;available,94.9
1265310.CCBD010000030_gene1649,CCBD010000030_gene1649,annotation&nbsp;not&nbsp;available,94.9
1265310.CCBD010000070_gene205,CCBD010000070_gene205,annotation&nbsp;not&nbsp;available,94.9
1265310.CCBD010000015_gene3499,CCBD010000015_gene3499,annotation&nbsp;not&nbsp;available,94.9
1265310.CCBD010000003_gene4805,CCBD010000003_gene4805,annotation&nbsp;not&nbsp;available,94.9
1265310.CCBD010000070_gene151,CCBD010000070_gene151,annotation&nbsp;not&nbsp;available,94.9
1265310.CCBD010000082_gene4920,CCBD010000082_gene4920,annotation&nbsp;not&nbsp;available,94.9
1265310.CCBD010000069_gene442,CCBD010000069_gene442,annotation&nbsp;not&nbsp;available,94.9
1265310.CCBD010000076_gene5263,CCBD010000076_gene5263,annotation&nbsp;not&nbsp;available,94.8
1265310.CCBD010000044_gene666,CCBD010000044_gene666,annotation&nbsp;not&nbsp;available,94.8
1265310.CCBD010000012_gene3304,CCBD010000012_gene3304,annotation&nbsp;not&nbsp;available,94.8
1265310.CCBD010000070_gene249,CCBD010000070_gene249,annotation&nbsp;not&nbsp;available,94.8
1265310.CCBD010000070_gene203,CCBD010000070_gene203,annotation&nbsp;not&nbsp;available,94.8
1265310.CCBD010000079_gene5182,CCBD010000079_gene5182,annotation&nbsp;not&nbsp;available,94.8
1265310.CCBD010000019_gene3999,CCBD010000019_gene3999,annotation&nbsp;not&nbsp;available,94.7
1265310.CCBD010000079_gene5151,CCBD010000079_gene5151,annotation&nbsp;not&nbsp;available,94.7
1265310.CCBD010000034_gene2093,CCBD010000034_gene2093,annotation&nbsp;not&nbsp;available,94.7
1265310.CCBD010000081_gene5104,CCBD010000081_gene5104,annotation&nbsp;not&nbsp;available,94.7
1265310.CCBD010000054_gene1491,CCBD010000054_gene1491,annotation&nbsp;not&nbsp;available,94.7
1265310.CCBD010000015_gene3570,CCBD010000015_gene3570,annotation&nbsp;not&nbsp;available,94.7
1265310.CCBD010000023_gene4265,CCBD010000023_gene4265,annotation&nbsp;not&nbsp;available,94.7
1265310.CCBD010000015_gene3607,CCBD010000015_gene3607,annotation&nbsp;not&nbsp;available,94.6
1265310.CCBD010000034_gene2094,CCBD010000034_gene2094,annotation&nbsp;not&nbsp;available,94.6
1265310.CCBD010000080_gene5013,CCBD010000080_gene5013,annotation&nbsp;not&nbsp;available,94.6
1265310.CCBD010000070_gene36,CCBD010000070_gene36,annotation&nbsp;not&nbsp;available,94.6
1265310.CCBD010000039_gene2288,CCBD010000039_gene2288,annotation&nbsp;not&nbsp;available,94.6
1265310.CCBD010000087_gene4535,CCBD010000087_gene4535,annotation&nbsp;not&nbsp;available,94.6
1265310.CCBD010000050_gene2038,gcvT,Aminomethyltransferase,94.5
1265310.CCBD010000012_gene3306,CCBD010000012_gene3306,annotation&nbsp;not&nbsp;available,94.5
1265310.CCBD010000064_gene1079,CCBD010000064_gene1079,annotation&nbsp;not&nbsp;available,94.5
