1437882.AZRU01000085_gene6800,AZRU01000085_gene6800,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000007_gene3001,AZRU01000007_gene3001,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000041_gene4520,AZRU01000041_gene4520,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000026_gene5995,AZRU01000026_gene5995,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000012_gene3498,cca,Multifunctional&nbsp;CCA&nbsp;protein,97.9
1437882.AZRU01000009_gene976,AZRU01000009_gene976,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000033_gene501,AZRU01000033_gene501,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000025_gene5838,purM,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000056_gene3805,AZRU01000056_gene3805,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000091_gene4872,AZRU01000091_gene4872,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000020_gene6147,AZRU01000020_gene6147,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000047_gene5070,AZRU01000047_gene5070,annotation&nbsp;not&nbsp;available,97.9
1437882.AZRU01000034_gene406,AZRU01000034_gene406,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000011_gene3599,AZRU01000011_gene3599,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000087_gene5616,leuB,3-isopropylmalate&nbsp;dehydrogenase,97.8
1437882.AZRU01000032_gene38,AZRU01000032_gene38,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000040_gene4696,AZRU01000040_gene4696,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000031_gene67,AZRU01000031_gene67,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000065_gene6895,AZRU01000065_gene6895,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000004_gene1953,AZRU01000004_gene1953,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000003_gene1705,AZRU01000003_gene1705,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000099_gene1119,AZRU01000099_gene1119,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000117_gene4319,AZRU01000117_gene4319,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000055_gene3762,AZRU01000055_gene3762,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000004_gene1902,AZRU01000004_gene1902,annotation&nbsp;not&nbsp;available,97.8
1437882.AZRU01000034_gene440,AZRU01000034_gene440,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000043_gene4839,pilB,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000059_gene4142,AZRU01000059_gene4142,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000007_gene2994,AZRU01000007_gene2994,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000031_gene74,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,97.7
1437882.AZRU01000039_gene4650,AZRU01000039_gene4650,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000004_gene1790,AZRU01000004_gene1790,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000016_gene3333,apt,Adenine&nbsp;phosphoribosyltransferase,97.7
1437882.AZRU01000042_gene4556,AZRU01000042_gene4556,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000080_gene3984,mtgA,Biosynthetic&nbsp;peptidoglycan&nbsp;transglycosylase,97.7
1437882.AZRU01000082_gene6821,AZRU01000082_gene6821,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000005_gene1313,AZRU01000005_gene1313,annotation&nbsp;not&nbsp;available,97.7
1437882.AZRU01000085_gene6789,AZRU01000085_gene6789,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000005_gene1416,AZRU01000005_gene1416,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000013_gene6926,AZRU01000013_gene6926,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000036_gene291,AZRU01000036_gene291,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000004_gene1945,AZRU01000004_gene1945,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000006_gene1563,cysE,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000020_gene6135,AZRU01000020_gene6135,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000001_gene2168,AZRU01000001_gene2168,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000021_gene6194,AZRU01000021_gene6194,annotation&nbsp;not&nbsp;available,97.6
1437882.AZRU01000045_gene4752,AZRU01000045_gene4752,Phosphoadenosine&nbsp;phosphosulfate&nbsp;reductase,97.6
1437882.AZRU01000007_gene2975,AZRU01000007_gene2975,annotation&nbsp;not&nbsp;available,97.5
1437882.AZRU01000038_gene5490,AZRU01000038_gene5490,annotation&nbsp;not&nbsp;available,97.5
1437882.AZRU01000100_gene4291,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,97.5
1437882.AZRU01000059_gene4130,AZRU01000059_gene4130,annotation&nbsp;not&nbsp;available,97.5
1437882.AZRU01000004_gene1963,AZRU01000004_gene1963,annotation&nbsp;not&nbsp;available,97.5
1437882.AZRU01000022_gene6279,AZRU01000022_gene6279,annotation&nbsp;not&nbsp;available,97.5
1437882.AZRU01000016_gene3296,AZRU01000016_gene3296,annotation&nbsp;not&nbsp;available,97.5
1437882.AZRU01000146_gene2816,AZRU01000146_gene2816,annotation&nbsp;not&nbsp;available,97.5
1437882.AZRU01000037_gene4382,ftsJ,Ribosomal&nbsp;RNA&nbsp;large&nbsp;subunit&nbsp;methyltransferase&nbsp;E,97.4
1437882.AZRU01000007_gene2986,prpB,2-methylisocitrate&nbsp;lyase,97.4
1437882.AZRU01000047_gene5067,AZRU01000047_gene5067,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000062_gene1209,AZRU01000062_gene1209,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000094_gene1165,coaD,Phosphopantetheine&nbsp;adenylyltransferase,97.4
1437882.AZRU01000022_gene6325,AZRU01000022_gene6325,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000026_gene5989,AZRU01000026_gene5989,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000051_gene5363,AZRU01000051_gene5363,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000007_gene3091,thiO,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000002_gene2417,AZRU01000002_gene2417,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000065_gene6870,AZRU01000065_gene6870,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000023_gene5721,AZRU01000023_gene5721,annotation&nbsp;not&nbsp;available,97.4
1437882.AZRU01000007_gene3095,bamD,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamD,97.3
1437882.AZRU01000100_gene4294,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,97.3
1437882.AZRU01000076_gene1142,AZRU01000076_gene1142,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000008_gene2912,AZRU01000008_gene2912,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000005_gene1329,AZRU01000005_gene1329,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000057_gene4231,AZRU01000057_gene4231,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000035_gene328,AZRU01000035_gene328,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000211_gene2546,AZRU01000211_gene2546,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000039_gene4633,AZRU01000039_gene4633,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000051_gene5345,AZRU01000051_gene5345,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000010_gene612,AZRU01000010_gene612,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000009_gene966,pobA,annotation&nbsp;not&nbsp;available,97.3
1437882.AZRU01000092_gene1288,fdhA,annotation&nbsp;not&nbsp;available,97.2
1437882.AZRU01000024_gene5780,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,97.2
1437882.AZRU01000043_gene4806,AZRU01000043_gene4806,annotation&nbsp;not&nbsp;available,97.2
1437882.AZRU01000096_gene1070,AZRU01000096_gene1070,annotation&nbsp;not&nbsp;available,97.2
1437882.AZRU01000018_gene6491,AZRU01000018_gene6491,annotation&nbsp;not&nbsp;available,97.2
1437882.AZRU01000006_gene1613,AZRU01000006_gene1613,annotation&nbsp;not&nbsp;available,97.2
1437882.AZRU01000017_gene6387,AZRU01000017_gene6387,annotation&nbsp;not&nbsp;available,97.2
1437882.AZRU01000052_gene3854,AZRU01000052_gene3854,Replicative&nbsp;DNA&nbsp;helicase,97.1
1437882.AZRU01000028_gene721,AZRU01000028_gene721,annotation&nbsp;not&nbsp;available,97.1
1437882.AZRU01000006_gene1612,AZRU01000006_gene1612,annotation&nbsp;not&nbsp;available,97.1
1437882.AZRU01000123_gene4902,selD,"Selenide,&nbsp;water&nbsp;dikinase",97.1
1437882.AZRU01000074_gene5554,ntrC,annotation&nbsp;not&nbsp;available,97.1
1437882.AZRU01000090_gene5545,AZRU01000090_gene5545,annotation&nbsp;not&nbsp;available,97.1
1437882.AZRU01000026_gene5933,AZRU01000026_gene5933,annotation&nbsp;not&nbsp;available,97.1
1437882.AZRU01000019_gene6078,metF,annotation&nbsp;not&nbsp;available,97.0
1437882.AZRU01000066_gene6729,AZRU01000066_gene6729,annotation&nbsp;not&nbsp;available,97.0
1437882.AZRU01000110_gene4909,AZRU01000110_gene4909,annotation&nbsp;not&nbsp;available,97.0
1437882.AZRU01000036_gene314,recA,annotation&nbsp;not&nbsp;available,97.0
1437882.AZRU01000046_gene5146,ppx,annotation&nbsp;not&nbsp;available,97.0
1437882.AZRU01000016_gene3339,AZRU01000016_gene3339,annotation&nbsp;not&nbsp;available,96.9
1437882.AZRU01000025_gene5834,wrbA,annotation&nbsp;not&nbsp;available,96.9
1437882.AZRU01000010_gene624,AZRU01000010_gene624,annotation&nbsp;not&nbsp;available,96.9
1437882.AZRU01000007_gene3028,AZRU01000007_gene3028,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000068_gene5015,AZRU01000068_gene5015,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000008_gene2876,AZRU01000008_gene2876,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000014_gene3182,AZRU01000014_gene3182,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000211_gene2537,AZRU01000211_gene2537,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000001_gene2102,AZRU01000001_gene2102,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000043_gene4813,AZRU01000043_gene4813,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000003_gene1625,aguB,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000060_gene4098,AZRU01000060_gene4098,annotation&nbsp;not&nbsp;available,96.8
1437882.AZRU01000078_gene4023,AZRU01000078_gene4023,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000075_gene4437,AZRU01000075_gene4437,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000022_gene6270,AZRU01000022_gene6270,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000010_gene570,AZRU01000010_gene570,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000051_gene5385,AZRU01000051_gene5385,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000091_gene4875,AZRU01000091_gene4875,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000001_gene2076,AZRU01000001_gene2076,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000041_gene4508,lepB,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000047_gene5101,AZRU01000047_gene5101,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000032_gene35,AZRU01000032_gene35,annotation&nbsp;not&nbsp;available,96.7
1437882.AZRU01000037_gene4407,AZRU01000037_gene4407,annotation&nbsp;not&nbsp;available,96.6
1437882.AZRU01000020_gene6125,AZRU01000020_gene6125,annotation&nbsp;not&nbsp;available,96.6
1437882.AZRU01000017_gene6438,nrdR,Transcriptional&nbsp;repressor&nbsp;NrdR,96.6
1437882.AZRU01000057_gene4225,AZRU01000057_gene4225,annotation&nbsp;not&nbsp;available,96.6
1437882.AZRU01000211_gene2566,AZRU01000211_gene2566,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000001_gene2174,rimK,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000089_gene7017,AZRU01000089_gene7017,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000036_gene311,AZRU01000036_gene311,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000045_gene4791,AZRU01000045_gene4791,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000066_gene6747,AZRU01000066_gene6747,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000019_gene6104,AZRU01000019_gene6104,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000004_gene1815,AZRU01000004_gene1815,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000016_gene3297,AZRU01000016_gene3297,annotation&nbsp;not&nbsp;available,96.5
1437882.AZRU01000160_gene4992,AZRU01000160_gene4992,annotation&nbsp;not&nbsp;available,96.4
1437882.AZRU01000064_gene7063,argH,annotation&nbsp;not&nbsp;available,96.4
1437882.AZRU01000018_gene6481,rpsI,annotation&nbsp;not&nbsp;available,96.4
1437882.AZRU01000005_gene1327,AZRU01000005_gene1327,annotation&nbsp;not&nbsp;available,96.4
1437882.AZRU01000072_gene4746,AZRU01000072_gene4746,annotation&nbsp;not&nbsp;available,96.4
1437882.AZRU01000025_gene5848,AZRU01000025_gene5848,annotation&nbsp;not&nbsp;available,96.4
1437882.AZRU01000001_gene1977,pstB,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,96.3
1437882.AZRU01000018_gene6511,lpxC,UDP-3-O-acyl-N-acetylglucosamine&nbsp;deacetylase,96.3
1437882.AZRU01000017_gene6368,amn,AMP&nbsp;nucleosidase,96.3
1437882.AZRU01000017_gene6367,AZRU01000017_gene6367,annotation&nbsp;not&nbsp;available,96.3
1437882.AZRU01000211_gene2689,AZRU01000211_gene2689,annotation&nbsp;not&nbsp;available,96.3
1437882.AZRU01000007_gene3073,proB,Glutamate&nbsp;5-kinase,96.3
1437882.AZRU01000003_gene1616,AZRU01000003_gene1616,annotation&nbsp;not&nbsp;available,96.3
1437882.AZRU01000211_gene2470,recB,annotation&nbsp;not&nbsp;available,96.3
1437882.AZRU01000001_gene2206,AZRU01000001_gene2206,annotation&nbsp;not&nbsp;available,96.2
1437882.AZRU01000009_gene903,AZRU01000009_gene903,annotation&nbsp;not&nbsp;available,96.2
1437882.AZRU01000061_gene4077,AZRU01000061_gene4077,annotation&nbsp;not&nbsp;available,96.2
1437882.AZRU01000023_gene5665,paaI,annotation&nbsp;not&nbsp;available,96.2
1437882.AZRU01000012_gene3541,glcB,Malate&nbsp;synthase&nbsp;G,96.2
1437882.AZRU01000021_gene6262,hflC,Protein&nbsp;HflC,96.1
1437882.AZRU01000180_gene6593,tuf,Elongation&nbsp;factor&nbsp;Tu,96.1
1437882.AZRU01000079_gene3958,AZRU01000079_gene3958,annotation&nbsp;not&nbsp;available,96.1
1437882.AZRU01000026_gene5955,AZRU01000026_gene5955,annotation&nbsp;not&nbsp;available,96.1
1437882.AZRU01000049_gene5229,AZRU01000049_gene5229,annotation&nbsp;not&nbsp;available,96.1
1437882.AZRU01000055_gene3755,AZRU01000055_gene3755,annotation&nbsp;not&nbsp;available,96.1
1437882.AZRU01000030_gene179,fliN,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliN,96.0
1437882.AZRU01000030_gene192,AZRU01000030_gene192,annotation&nbsp;not&nbsp;available,96.0
1437882.AZRU01000038_gene5492,argF,annotation&nbsp;not&nbsp;available,96.0
1437882.AZRU01000031_gene55,AZRU01000031_gene55,annotation&nbsp;not&nbsp;available,96.0
1437882.AZRU01000045_gene4748,AZRU01000045_gene4748,annotation&nbsp;not&nbsp;available,96.0
1437882.AZRU01000026_gene5960,AZRU01000026_gene5960,annotation&nbsp;not&nbsp;available,96.0
1437882.AZRU01000022_gene6285,AZRU01000022_gene6285,annotation&nbsp;not&nbsp;available,96.0
1437882.AZRU01000021_gene6228,AZRU01000021_gene6228,annotation&nbsp;not&nbsp;available,96.0
1437882.AZRU01000036_gene270,AZRU01000036_gene270,annotation&nbsp;not&nbsp;available,96.0
1437882.AZRU01000038_gene5468,AZRU01000038_gene5468,annotation&nbsp;not&nbsp;available,95.9
1437882.AZRU01000014_gene3147,AZRU01000014_gene3147,annotation&nbsp;not&nbsp;available,95.9
1437882.AZRU01000010_gene567,AZRU01000010_gene567,annotation&nbsp;not&nbsp;available,95.9
1437882.AZRU01000006_gene1518,AZRU01000006_gene1518,annotation&nbsp;not&nbsp;available,95.8
1437882.AZRU01000045_gene4782,nirD,annotation&nbsp;not&nbsp;available,95.8
1437882.AZRU01000006_gene1565,AZRU01000006_gene1565,annotation&nbsp;not&nbsp;available,95.8
1437882.AZRU01000017_gene6457,AZRU01000017_gene6457,annotation&nbsp;not&nbsp;available,95.8
1437882.AZRU01000023_gene5678,AZRU01000023_gene5678,annotation&nbsp;not&nbsp;available,95.8
1437882.AZRU01000020_gene6165,AZRU01000020_gene6165,annotation&nbsp;not&nbsp;available,95.7
1437882.AZRU01000045_gene4802,glnS,annotation&nbsp;not&nbsp;available,95.7
1437882.AZRU01000023_gene5657,AZRU01000023_gene5657,annotation&nbsp;not&nbsp;available,95.7
1437882.AZRU01000101_gene4475,AZRU01000101_gene4475,annotation&nbsp;not&nbsp;available,95.7
1437882.AZRU01000058_gene4167,AZRU01000058_gene4167,annotation&nbsp;not&nbsp;available,95.6
1437882.AZRU01000006_gene1604,AZRU01000006_gene1604,annotation&nbsp;not&nbsp;available,95.6
1437882.AZRU01000029_gene239,AZRU01000029_gene239,annotation&nbsp;not&nbsp;available,95.6
1437882.AZRU01000007_gene3092,AZRU01000007_gene3092,annotation&nbsp;not&nbsp;available,95.6
1437882.AZRU01000001_gene2232,AZRU01000001_gene2232,annotation&nbsp;not&nbsp;available,95.6
1437882.AZRU01000061_gene4067,flgE,annotation&nbsp;not&nbsp;available,95.6
1437882.AZRU01000100_gene4290,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,95.6
1437882.AZRU01000003_gene1747,AZRU01000003_gene1747,annotation&nbsp;not&nbsp;available,95.5
1437882.AZRU01000057_gene4210,AZRU01000057_gene4210,annotation&nbsp;not&nbsp;available,95.5
1437882.AZRU01000045_gene4780,AZRU01000045_gene4780,annotation&nbsp;not&nbsp;available,95.5
1437882.AZRU01000019_gene6020,AZRU01000019_gene6020,annotation&nbsp;not&nbsp;available,95.5
1437882.AZRU01000099_gene1123,AZRU01000099_gene1123,annotation&nbsp;not&nbsp;available,95.5
1437882.AZRU01000020_gene6113,AZRU01000020_gene6113,annotation&nbsp;not&nbsp;available,95.5
1437882.AZRU01000008_gene2969,AZRU01000008_gene2969,annotation&nbsp;not&nbsp;available,95.5
1437882.AZRU01000002_gene2402,AZRU01000002_gene2402,annotation&nbsp;not&nbsp;available,95.5
1437882.AZRU01000013_gene6952,AZRU01000013_gene6952,annotation&nbsp;not&nbsp;available,95.4
1437882.AZRU01000005_gene1408,AZRU01000005_gene1408,annotation&nbsp;not&nbsp;available,95.4
1437882.AZRU01000211_gene2477,AZRU01000211_gene2477,annotation&nbsp;not&nbsp;available,95.4
1437882.AZRU01000020_gene6110,AZRU01000020_gene6110,annotation&nbsp;not&nbsp;available,95.4
1437882.AZRU01000073_gene4355,AZRU01000073_gene4355,annotation&nbsp;not&nbsp;available,95.4
1437882.AZRU01000005_gene1337,AZRU01000005_gene1337,annotation&nbsp;not&nbsp;available,95.4
1437882.AZRU01000048_gene5182,AZRU01000048_gene5182,annotation&nbsp;not&nbsp;available,95.4
1437882.AZRU01000079_gene3959,AZRU01000079_gene3959,annotation&nbsp;not&nbsp;available,95.4
1437882.AZRU01000010_gene554,cpoB,Cell&nbsp;division&nbsp;coordinator&nbsp;CpoB,95.4
1437882.AZRU01000001_gene2001,AZRU01000001_gene2001,"Bifunctional&nbsp;GTP&nbsp;diphosphokinase/guanosine-3',5'-bis(Diphosphate)&nbsp;3'-diphosphatase",95.4
1437882.AZRU01000036_gene260,soxR,annotation&nbsp;not&nbsp;available,95.3
1437882.AZRU01000028_gene752,AZRU01000028_gene752,annotation&nbsp;not&nbsp;available,95.3
1437882.AZRU01000075_gene4460,AZRU01000075_gene4460,annotation&nbsp;not&nbsp;available,95.3
1437882.AZRU01000020_gene6154,AZRU01000020_gene6154,annotation&nbsp;not&nbsp;available,95.3
